scope,feature_family,n,n_features,accuracy,f1,roc_auc,fold_accuracy_mean,fold_accuracy_std,fold_accuracy_ci_low,fold_accuracy_ci_high,permutation_score,permutation_p
all,length_only,228,3,0.8771929824561403,0.889763779527559,0.9087411511234227,0.8770048309178744,0.06366519288791876,0.8326570048309179,0.9253140096618356,,
all,generic,228,10,0.9298245614035088,0.9322033898305084,0.9696829793782702,0.9298550724637682,0.028431501072134397,0.9079227053140096,0.9517874396135266,,
all,spatial,228,13,0.8771929824561403,0.8842975206611571,0.9564481378885811,0.8771014492753622,0.020406268293491157,0.8588405797101449,0.8908212560386474,0.8771014492753622,0.009900990099009901
all,narrative,228,6,0.9473684210526315,0.9478260869565217,0.9779932286857494,0.9474396135265701,0.024622046758656202,0.9260869565217391,0.9650241545893721,,
all,all,228,31,0.9736842105263158,0.9743589743589743,0.9966912896275777,0.9735265700483092,0.02438872035400715,0.9513043478260869,0.9912077294685989,0.9735265700483092,0.009900990099009901
all,all_no_length,228,28,0.9649122807017544,0.9658119658119658,0.9827639273622653,0.9648309178743961,0.024960937065584006,0.9472463768115942,0.9867632850241546,0.9648309178743961,0.009900990099009901
r2r,length_only,160,3,1.0,1.0,1.0,1.0,0.0,1.0,1.0,,
r2r,generic,160,10,0.95,0.9523809523809523,0.9785937499999999,0.95,0.02795084971874737,0.925,0.96875,,
r2r,spatial,160,13,0.98125,0.9815950920245399,1.0,0.98125,0.02795084971874737,0.95625,1.0,,
r2r,narrative,160,6,1.0,1.0,1.0,1.0,0.0,1.0,1.0,,
r2r,all,160,31,1.0,1.0,1.0,1.0,0.0,1.0,1.0,,
r2r,all_no_length,160,28,1.0,1.0,1.0,1.0,0.0,1.0,1.0,,
writingprompts,length_only,68,3,0.6911764705882353,0.6956521739130435,0.8200692041522492,0.689010989010989,0.09124850188096167,0.6087912087912087,0.7527472527472527,,
writingprompts,generic,68,10,0.8235294117647058,0.8285714285714286,0.9048442906574394,0.8230769230769232,0.08777461779215763,0.7483516483516484,0.8835164835164836,,
writingprompts,spatial,68,13,0.8382352941176471,0.8405797101449275,0.8910034602076125,0.8428571428571429,0.15485345277627713,0.7285714285714285,0.9571428571428571,,
writingprompts,narrative,68,6,0.8529411764705882,0.8571428571428571,0.9186851211072665,0.8549450549450549,0.101134728482141,0.7714285714285715,0.9406593406593406,,
writingprompts,all,68,31,0.9558823529411765,0.9577464788732394,0.9783737024221453,0.956043956043956,0.04018884296243897,0.9263736263736264,0.9857142857142858,,
writingprompts,all_no_length,68,28,0.9411764705882353,0.9428571428571428,0.9576124567474048,0.9417582417582417,0.032644946763764705,0.9252747252747253,0.9714285714285715,,
