feature,permutation_importance_mean,permutation_importance_std
formulaic_phrase_per_1000,0.0021929824561403577,0.002192982456140358
bigram_repetition,0.0,0.0
affect_per_1000,0.0,0.0
closure_per_1000,0.0,0.0
coordination_per_1000,0.0,0.0
deictic_per_1000,0.0,0.0
cardinal_per_1000,0.0,0.0
dialogue_mark_density,0.0,0.0
direction_per_1000,0.0,0.0
egocentric_per_1000,0.0,0.0
first_person_per_1000,0.0,0.0
hapax_ratio,0.0,0.0
imperative_sentence_share,0.0,0.0
landmark_per_1000,0.0,0.0
landmark_reuse_ratio,0.0,0.0
left_right_imbalance,0.0,0.0
mean_sentence_len,0.0,0.0
motion_per_1000,0.0,0.0
narrative_route_ratio,0.0,0.0
nominalization_per_1000,0.0,0.0
participial_ing_per_1000,0.0,0.0
passive_like_per_1000,0.0,0.0
route_step_density,0.0,0.0
second_person_per_1000,0.0,0.0
sensory_per_1000,0.0,0.0
sentence_count,0.0,0.0
sequence_per_1000,0.0,0.0
survey_route_ratio,0.0,0.0
that_per_1000,0.0,0.0
type_token_ratio,0.0,0.0
word_count,0.0,0.0
